Compound,Date,Favorite Count,Retweet Count,Text
0.5106,Mon Oct 09 08:26:46 +0000 2017,843,843,"At Normandy, honoring those who made the ultimate sacrifice. “Think not only upon their passing. Remember the glory… https://t.co/k7EtSphO1a"
0.8885,Mon Oct 09 08:00:12 +0000 2017,866,866,"Thanks to my friends at Eldim, a team of talented engineers and craftspeople helping make iPhone possible. Bravo po… https://t.co/PQVYBCOSUJ"
0.296,Fri Oct 06 21:50:21 +0000 2017,736,736,Saluting the many #womenintech representing Apple at #GHC17 and helping build the future of our industry. https://t.co/NIC18EL8Oo
0.7579,Thu Oct 05 12:47:18 +0000 2017,17308,17308,"Remembering Steve today. Still with us, still inspiring us. “Make something wonderful, and put it out there.” https://t.co/7aOCPkwU0U"
0.8074,Tue Oct 03 18:48:10 +0000 2017,607,607,Our condolences to the Otellini family and everyone at Intel. Paul was a great friend of Apple. https://t.co/D8Y8rmYP4x
0.5859,Tue Oct 03 15:43:06 +0000 2017,1148,1148,"""You can stand me up at the gates of Hell / But I won't back down.” Rest in peace, #TomPetty. Thank you for your music and inspiration."
-0.1779,Mon Oct 02 13:26:59 +0000 2017,2656,2656,"Our hearts are with the victims in Las Vegas, their families and loved ones who are grieving this morning."
0.3612,Sat Sep 30 22:43:31 +0000 2017,5961,5961,This is what leadership looks like. https://t.co/oWuHpp8U4b
0.8591,Fri Sep 29 19:52:58 +0000 2017,1506,1506,Our hearts are with Puerto Rico. La Isla del Encanto🇵🇷 will rise again. Please join us in supporting relief efforts: https://t.co/QLBMFOjaDG
0.3818,Thu Sep 28 23:20:48 +0000 2017,2406,2406,"At Apple, we believe privacy is a fundamental human right. Read the latest on our efforts to protect your data: https://t.co/5Nl278U3oy"
0.5859,Sat Sep 23 01:25:11 +0000 2017,889,889,Portrait Lighting on the new iPhone 8 Plus by @oyuelaphoto is amazing. Can’t wait to see what our customers do with… https://t.co/ig8EaGgjcl
0.0,Fri Sep 22 21:47:36 +0000 2017,810,810,The first thing you do with your new #AppleWatchSeries3: Call Mom https://t.co/nS3XUvp2zy https://t.co/qcll0YbZye
0.4939,Thu Sep 21 20:50:04 +0000 2017,25053,25053,"Mientras hay vida, hay esperanza. Mexico’s resilience is its strength. Apple is contributing $1M to recovery efforts. #FuerzaMexico 🇲🇽"
0.6892,Wed Sep 20 18:47:51 +0000 2017,1242,1242,"It was great to meet you, Alex! Looking forward to seeing you at WWDC 2018! @TheAbilityApp @TheEllenShow https://t.co/dFHI7WLAHQ"
0.0,Tue Sep 19 23:50:22 +0000 2017,11410,11410,Nuestros pensamientos están con todos los afectados por el terremoto que sufrió México hoy. Rezando por nuestros amigos y colegas. 🇲🇽
0.7901,Tue Sep 12 15:11:43 +0000 2017,16969,16969,It's a big day at Apple! We are honored and thrilled to host our first keynote at the Steve Jobs Theater this morni… https://t.co/dtB76zXt7K
0.8655,Fri Sep 08 22:08:59 +0000 2017,885,885,Our thoughts and prayers are with those affected by #Irma. Please stay safe! Apple is proud to support #HandInHand. https://t.co/BYJ6qPWh4p
0.4753,Thu Sep 07 22:46:56 +0000 2017,473,473,"Powerful stories, striking portraits! Bravo @TIME and Luisa Dorr #ShotoniPhone #SheIsTheFirst https://t.co/i5hS8IFgE8"
-0.3818,Tue Sep 05 18:33:23 +0000 2017,13046,13046,#Dreamers contribute to our companies and our communities just as much as you and I. Apple will fight for them to be treated as equals.
0.7964,Sun Sep 03 12:38:13 +0000 2017,55091,55091,250 of my Apple coworkers are #Dreamers. I stand with them. They deserve our respect as equals and a solution rooted in American values.
0.5719,Sun Aug 27 13:01:47 +0000 2017,1483,1483,Prayers for Texas and all those affected by #HurricaneHarvey. Join us in the relief effort by donating: https://t.co/QLBMFOjaDG
0.4404,Sat Aug 26 20:06:21 +0000 2017,2250,2250,"Saluting the incredible women at Apple, and around the world, who are leading the way to a better future. #WomensEqualityDay"
0.9359,Fri Aug 25 21:04:30 +0000 2017,493,493,"Thanks to all my friends in Texas, new and old, for another amazing visit! Please stay safe as the storm comes ashore."
0.8748,Fri Aug 25 20:38:45 +0000 2017,498,498,Visiting our great customers and employees today at Apple The Domain was a treat. Apple ❤️ Austin! Thanks for 25 fa… https://t.co/xrACHz6kvj
0.9062,Fri Aug 25 20:07:00 +0000 2017,865,865,Apple has the best customer service because we have the best people. Thrilled to see #AppleCare advisors in action… https://t.co/Z05xt1GMK2
0.802,Fri Aug 25 19:42:57 +0000 2017,446,446,Everyone deserves equal access to a great education. Proud to stand w/@accdistrict to launch our App Development wi… https://t.co/XCYqRQ23FD
0.8779,Fri Aug 25 19:34:15 +0000 2017,363,363,Thx @JoshuaBaer for a fantastic morning @CapitalFactory. Developer creativity is off the charts. We’re as excited a… https://t.co/iX0XpCuTgH
0.8122,Thu Aug 24 21:03:01 +0000 2017,406,406,Great day in the Hawkeye State! A shout out to the dedicated team at Apple Jordan Creek. https://t.co/94b1nHztCA
0.7959,Thu Aug 24 21:00:55 +0000 2017,276,276,.@WaukeeAPEX thanks for showing me around! Loved seeing the collaboration among students and depth of learning at y… https://t.co/SoFKk9ix4z
0.7959,Thu Aug 24 20:45:52 +0000 2017,22,22,@WaukeeAPEX thanks for showing me around! Loved seeing the collaboration among students and depth of learning at yo… https://t.co/7wcmwoCnTz
0.0,Thu Aug 24 19:46:43 +0000 2017,386,386,Looking forward to working with @KimReynoldsIA &amp; @CityofWaukee for Apple's newest data center to serve N American c… https://t.co/mSkilLL9M1
0.7351,Thu Aug 24 14:42:38 +0000 2017,701,701,"Thanks to the team at CTS in Cincinnati, manufacturers of best-in-class testing equipment for Apple. Enjoyed my vis… https://t.co/IWqzPAHZS9"
0.7269,Tue Aug 22 13:39:15 +0000 2017,602,602,"Our hearts are with the families and loved ones of those lost aboard the #USSJohnSMcCain, and all the brave men and women who serve."
-0.5574,Thu Aug 17 18:03:02 +0000 2017,7597,7597,Ataques trágicos y sin sentido en Barcelona. Nuestros pensamientos están hoy con todos nuestros amigos y compañeros en esa gran ciudad.
-0.9062,Mon Aug 14 16:11:13 +0000 2017,6637,6637,We’ve seen the terror of white supremacy &amp; racist violence before. It's a moral issue - an affront to America. We must all stand against it
-0.9246,Sat Aug 12 22:59:12 +0000 2017,4080,4080,Heartbreaking scenes in #Charlottesville. Violence and racism have no place in America.
0.906,Sat Aug 05 01:29:01 +0000 2017,4907,4907,Thanks @ddlovato for helping us celebrate diversity and showing the world what it means to have courage and heart! https://t.co/UXUoUsm5TA
0.2023,Thu Aug 03 02:29:47 +0000 2017,1034,1034,An #accessibility breakthrough for people with hearing loss. Proud of our team's work with @CochlearUS https://t.co/YJguB6WC21 @WIRED
0.0,Wed Jul 26 19:00:36 +0000 2017,7556,7556,We are indebted to all who serve. Discrimination against anyone holds everyone back. #LetThemServe
0.8356,Sat Jul 22 01:13:37 +0000 2017,488,488,A salute to the bright minds of our 2017 interns. Thank you for your contributions and enjoy the rest of the summer! https://t.co/vqRLDaBvgv
0.6467,Mon Jul 17 15:09:32 +0000 2017,13070,13070,"😀🌎🌍🌏📆 Happy #WorldEmojiDay! 🎉 We’ve got some 😎 new ones to show you, coming later this year! 👀👇… https://t.co/SW4CBdYsoc"
0.7345,Sat Jul 15 21:12:36 +0000 2017,770,770,Join me in celebrating National Parks today! Complete a 3.5 mile walk/run/roll workout with your Apple Watch and ea… https://t.co/rrH4GLBBaQ
-0.8271,Tue Jul 11 04:17:22 +0000 2017,1062,1062,Saddened by the tragic loss of life in Mississippi. Our prayers are with the families and all those who serve.
0.7088,Tue Jul 04 12:48:46 +0000 2017,7136,7136,Wishing everyone a happy #Independence Day! 🇺🇸 “Remember always that all of us ... are descended from immigrants and revolutionists.” -FDR
0.8395,Sat Jul 01 17:56:38 +0000 2017,733,733,Happy #CanadaDay to everyone celebrating! / Bonne #FêteDuCanada à tous ceux qui célèbrent! 🇨🇦
0.0,Sat Jul 01 14:26:13 +0000 2017,217,217,"@MichelGondry Here's Détour, #shotoniphone by @MichelGondry, with English subtitles. https://t.co/AH91NdDEd6"
0.6369,Sat Jul 01 14:18:46 +0000 2017,634,634,"Love this new short film by @MichelGondry #shotoniphone. Vive le cinéma français. 🇫🇷
https://t.co/VsYyvgXljN"
